2021-10-13 12:10:71 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (2d93dae3ceb2bfe063d2ecd7af33e159)] -> xpath: //input[@id = 'password-inp']]
2021-10-13 12:10:182 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (2d93dae3ceb2bfe063d2ecd7af33e159)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-13 12:10:318 INFO  LoginPage :44 - Getting Error Message [[ChromeDriver: chrome on WINDOWS (2d93dae3ceb2bfe063d2ecd7af33e159)] -> xpath: //div[@data-qa = 'signin-div-error-display']]
2021-10-13 12:10:367 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 12:10:88 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 12:10:800 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (7b0cb06732fe1a7fce6d1ed748b87ca5)] -> xpath: //input[@id = 'username-inp']]
2021-10-13 12:10:911 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (7b0cb06732fe1a7fce6d1ed748b87ca5)] -> xpath: //input[@id = 'password-inp']]
2021-10-13 12:10:35 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (7b0cb06732fe1a7fce6d1ed748b87ca5)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-13 12:10:171 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 12:10:921 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 12:10:992 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (39f7b076de786cd605dbf6737ac3cf49)] -> xpath: //input[@id = 'username-inp']]
2021-10-13 12:10:129 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (39f7b076de786cd605dbf6737ac3cf49)] -> xpath: //input[@id = 'password-inp']]
2021-10-13 12:10:244 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (39f7b076de786cd605dbf6737ac3cf49)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-13 12:10:372 INFO  LoginPage :44 - Getting Error Message [[ChromeDriver: chrome on WINDOWS (39f7b076de786cd605dbf6737ac3cf49)] -> xpath: //div[@data-qa = 'signin-div-error-display']]
2021-10-13 12:10:443 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 12:10:856 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 12:10:658 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (a61d3c10b0b8b06dffdd19031d2f2d9a)] -> xpath: //input[@id = 'username-inp']]
2021-10-13 12:10:773 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (a61d3c10b0b8b06dffdd19031d2f2d9a)] -> xpath: //input[@id = 'password-inp']]
2021-10-13 12:10:889 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (a61d3c10b0b8b06dffdd19031d2f2d9a)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-13 12:10:25 INFO  LoginPage :44 - Getting Error Message [[ChromeDriver: chrome on WINDOWS (a61d3c10b0b8b06dffdd19031d2f2d9a)] -> xpath: //div[@ data-qa = 'error-message-div-display']]
2021-10-13 12:10:106 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 19:10:612 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 19:10:779 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (6e61aa43f681a1b7f22869a948c55755)] -> xpath: //input[@id = 'username-inp']]
2021-10-13 19:10:898 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (6e61aa43f681a1b7f22869a948c55755)] -> xpath: //input[@id = 'password-inp']]
2021-10-13 19:10:10 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (6e61aa43f681a1b7f22869a948c55755)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-13 19:10:143 INFO  LoginPage :44 - Getting Error Message [[ChromeDriver: chrome on WINDOWS (6e61aa43f681a1b7f22869a948c55755)] -> xpath: //app-error-message[@data-qa='signin-inp-password-error']//div[@class='alert alert-danger ng-star-inserted'][normalize-space()='This field is required']]
2021-10-13 19:10:926 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 19:10:450 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (5daf18c932fadb417d99d0dc2499e204)] -> xpath: //input[@id = 'username-inp']]
2021-10-13 19:10:605 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (5daf18c932fadb417d99d0dc2499e204)] -> xpath: //input[@id = 'password-inp']]
2021-10-13 19:10:709 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (5daf18c932fadb417d99d0dc2499e204)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-13 19:10:834 INFO  LoginPage :44 - Getting Error Message [[ChromeDriver: chrome on WINDOWS (5daf18c932fadb417d99d0dc2499e204)] -> xpath: //app-error-message[@data-qa='signin-inp-password-error']//div[@class='alert alert-danger ng-star-inserted'][normalize-space()='This field is required']]
2021-10-13 19:10:628 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 19:10:105 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (fb57bc6924a618cc643a75d4d0d5bb98)] -> xpath: //input[@id = 'username-inp']]
2021-10-13 19:10:255 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (fb57bc6924a618cc643a75d4d0d5bb98)] -> xpath: //input[@id = 'password-inp']]
2021-10-13 19:10:392 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (fb57bc6924a618cc643a75d4d0d5bb98)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-13 19:10:621 INFO  LoginPage :44 - Getting Error Message Proxy element for: DefaultElementLocator 'By.xpath: //app-error-message[@data-qa='signin-inp-password-error']//div[@class='alert alert-danger ng-star-inserted'][normalize-space()='This field is required']'
2021-10-13 19:10:585 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 19:10:243 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (042627f948d917a85f7e46ee985021ff)] -> xpath: //input[@id = 'username-inp']]
2021-10-13 19:10:355 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (042627f948d917a85f7e46ee985021ff)] -> xpath: //input[@id = 'password-inp']]
2021-10-13 19:10:501 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (042627f948d917a85f7e46ee985021ff)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-13 19:10:663 INFO  LoginPage :44 - Getting Error Message Proxy element for: DefaultElementLocator 'By.xpath: //app-error-message[@data-qa='signin-inp-password-error']//div[@class='alert alert-danger ng-star-inserted'][normalize-space()='This field is required']'
